"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"RPL36A",0.0169469304106236,0.991594528553645,-0.0591179737722282,0.877318442258331,-0.100334081179607,0.799974621581792
"GLA",0.402450975571092,0.620497879203569,0.29103278001506,0.539909812541728,0.25795445966598,0.532375425977128
"HNRNPH2",0.0459349809773111,0.969952634197529,0.0104275409294274,0.981281389473242,-0.00990635570720251,0.984972267782658
"ARMCX4",-0.396257900718742,0.628215124463658,-0.258694857637498,0.624797919468845,-0.337589261195746,0.536280538719723
"ARMCX1",0.21260273586835,0.909991992195616,0.063997038238902,0.852542483251065,0.0435001103654241,0.921633177647038
"ARMCX6",0.18325578074977,0.78216388715191,0.142408867225257,0.655885041836434,0.152127413891296,0.646736088217769
"ARMCX3",0.104191992773972,0.858670945420424,0.0663027200201049,0.798386759541427,0.0546602061168869,0.868416651730548
"ARMCX2",-0.127000889623316,0.882264046366445,-0.119226881575226,0.728626054491622,-0.203182304263133,0.510146919208901
"ZMAT1",-0.395585598716778,0.59030874370855,-0.289711662642419,0.539909812541728,-0.367102425413324,0.340066857859774
"BEX5",0.0353119724462,0.989701309603352,-0.0103572458872286,0.989648351854567,-0.0220055246271825,0.984095076130832
"ARMCX5-GPRASP2",-0.0448287911445609,0.987060796028084,-0.00721735451997475,0.994111893424054,-0.00158711954203446,0.999155714450675
"BEX1",0.157863485344504,0.972747459822463,0.147742828832173,0.897313193969235,0.0874447935094689,0.942399859775435
"BEX4",0.178797926402489,0.876796771935752,0.152128087501325,0.743182114935525,0.195600437299248,0.661101052133121
"TCEAL8",-0.0443987569944266,0.987676987381042,-0.0553237010541563,0.879318949048446,-0.0771424045487545,0.850173416597071
"TCEAL7",-0.278623395071558,0.945421051661546,-0.202146758766964,0.855616970453911,-0.341090192807672,0.699567128104153
"TCEAL9",-0.113064793390652,0.978916937415713,-0.111990093532131,0.808661139101294,-0.197366066012211,0.646743640939101
"BEX3",-0.243018789687025,0.966712918349758,-0.111452988469391,0.877318442258331,-0.131626711683826,0.859043683670205
"TCEAL4",0.145323588782109,0.964462552585652,0.0235867630310076,0.96277084031199,0.0253962768225139,0.967663675087524
"TCEAL3",0.172293565251741,0.836203256481455,0.135027909285925,0.728626054491622,0.123148593860471,0.794142255410456
"TCEAL1",0.0308836081266581,0.987676987381042,-0.0596938679236811,0.884514195537012,-0.123633874367024,0.751145224801179
