"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblast","Fibroblast","BMP4","BMPR1A_BMPR2",5.44298892954202e-05,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP4","BMPR1A_BMPR2",0.000232109820692442,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP4","BMPR1A_BMPR2",0.000117109183584381,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","nmSC","BMP4","BMPR1A_BMPR2",0.00012999408554765,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","nmSC","BMP4","BMPR1A_BMPR2",6.5584469632039e-05,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","PC_VSMC","BMP4","BMPR1A_BMPR2",0.000282739336298429,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","PC_VSMC","BMP4","BMPR1A_BMPR2",0.000142658597445516,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP4","BMPR1B_ACVR2A",0.000328635047704449,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP4","BMPR1B_ACVR2A",0.000165817308030948,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP4","BMPR1B_BMPR2",0.000463267373844194,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP4","BMPR1B_BMPR2",0.000233761812999629,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","nmSC","BMP4","BMPR1B_BMPR2",0.000165260084964324,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","nmSC","BMP4","BMPR1B_BMPR2",8.33781118095162e-05,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
